Ingredient,Function,Group
olea europaea leaf powder,abrasive,Cleansing and Purifying
dicalcium phosphate dihydrate,abrasive,Cleansing and Purifying
virola sebifera seed powder,abrasive,Cleansing and Purifying
quartz,abrasive,Cleansing and Purifying
vaccinium macrocarpon seed,abrasive,Cleansing and Purifying
magnolia denudata bud powder,abrasive,Cleansing and Purifying
prunus mume fruit,abrasive,Cleansing and Purifying
prunus cerasus shell powder,abrasive,Cleansing and Purifying
prunus amygdalus dulcis seedcoat powder,abrasive,Cleansing and Purifying
passiflora incarnata seed powder,abrasive,Cleansing and Purifying
eucalyptus globulus leaf powder,abrasive,Cleansing and Purifying
matricaria maritima powder,abrasive,Cleansing and Purifying
sesamum indicum seed,abrasive,Cleansing and Purifying
kiwi fruit extract beta-glucan,abrasive,Cleansing and Purifying
amethyst powder,abrasive,Cleansing and Purifying
cocos nucifera shell powder,abrasive,Cleansing and Purifying
chondrus crispus powder,abrasive,Cleansing and Purifying
litchi chinensis seed powder,abrasive,Cleansing and Purifying
tricalcium phosphate,abrasive,Cleansing and Purifying
aluminum silicate,abrasive,Cleansing and Purifying
syringa oblata bark/leaf powder,abrasive,Cleansing and Purifying
melaleuca alternifolia leaf powder,abrasive,Cleansing and Purifying
sand,abrasive,Cleansing and Purifying
astrocaryum murumuru seed powder,abrasive,Cleansing and Purifying
pumpkin fruit extract beta-glucan,abrasive,Cleansing and Purifying
pumice,abrasive,Cleansing and Purifying
astragalus membranaceus root powder,abrasive,Cleansing and Purifying
lactobacillus/papaya fruit ferment extract,abrasive,Cleansing and Purifying
linum usitatissimum seed flour,abrasive,Cleansing and Purifying
corylus avellana seed powder,abrasive,Cleansing and Purifying
luffa cylindrica fruit powder,abrasive,Cleansing and Purifying
illite,abrasive,Cleansing and Purifying
cymbopogon flexuosus leaf powder,abrasive,Cleansing and Purifying
hydrogenated jojoba oil,abrasive,Cleansing and Purifying
cycas revoluta leaf powder,abrasive,Cleansing and Purifying
sodium calcium copper phosphate,abrasive,Cleansing and Purifying
porphyra umbilicalis powder,abrasive,Cleansing and Purifying
plantago psyllium husk,abrasive,Cleansing and Purifying
citrus nobilis peel powder,abrasive,Cleansing and Purifying
theobroma grandiflorum seed powder,abrasive,Cleansing and Purifying
amburana cearensis seed oil,abrasive,Cleansing and Purifying
hydrogenated poly(c6-20 olefin),abrasive,Cleansing and Purifying
glycine max seed powder,abrasive,Cleansing and Purifying
carya illinoensis shell powder,abrasive,Cleansing and Purifying
avena sativa bran,abrasive,Cleansing and Purifying
ethylene/propylene copolymer,abrasive,Cleansing and Purifying
nephrite powder,abrasive,Cleansing and Purifying
euterpe oleracea pulp powder,abrasive,Cleansing and Purifying
citrus tangerina peel,abrasive,Cleansing and Purifying
hordeum distichon seed flour,abrasive,Cleansing and Purifying
sillimanite,abrasive,Cleansing and Purifying
colloidal oatmeal,abrasive,Cleansing and Purifying
vaccinium angustifolium seed,abrasive,Cleansing and Purifying
marble powder,abrasive,Cleansing and Purifying
juniperus oxycedrus wood powder,abrasive,Cleansing and Purifying
sodium tetrahydrojasmonate,abrasive,Cleansing and Purifying
sodium calcium zinc phosphate,abrasive,Cleansing and Purifying
persea gratissima seed,abrasive,Cleansing and Purifying
chitin,abrasive,Cleansing and Purifying
attapulgite,abrasive,Cleansing and Purifying
theobroma cacao seed powder,abrasive,Cleansing and Purifying
avena sativa kernel extract,abrasive,Cleansing and Purifying
scutellaria baicalensis root powder,abrasive,Cleansing and Purifying
hippophae rhamnoides seed powder,abrasive,Cleansing and Purifying
mudstone powder,abrasive,Cleansing and Purifying
diamond powder,abrasive,Cleansing and Purifying
prunus amygdalus dulcis seed meal,abrasive,Cleansing and Purifying
prunus amygdalus dulcis shell powder,abrasive,Cleansing and Purifying
luffa cylindrica,abrasive,Cleansing and Purifying
zea mays cob meal,abrasive,Cleansing and Purifying
sodium calcium boron phosphate,abrasive,Cleansing and Purifying
calcium sulfate,abrasive,Cleansing and Purifying
symphytum officinale leaf powder,abrasive,Cleansing and Purifying
sanguisorba officinalis root/stalk powder,abrasive,Cleansing and Purifying
avena sativa kernel meal,abrasive,Cleansing and Purifying
angelica dahurica seed powder,abrasive,Cleansing and Purifying
nigella damascena seed powder,abrasive,Cleansing and Purifying
acidophilus/grape ferment filtrate,abrasive,Cleansing and Purifying
argilla,abrasive,Cleansing and Purifying
ipomoea hederacea seed powder,abrasive,Cleansing and Purifying
avena sativa bran extract,abrasive,Cleansing and Purifying
ostrea shell powder,abrasive,Cleansing and Purifying
lignum powder,abrasive,Cleansing and Purifying
cicer arietinum seed powder,abrasive,Cleansing and Purifying
olea europaea seed powder,abrasive,Cleansing and Purifying
prunus persica flower powder,abrasive,Cleansing and Purifying
stemona sessifolia root powder,abrasive,Cleansing and Purifying
rosa canina seed powder,abrasive,Cleansing and Purifying
vaccinium macrocarpon seed powder,abrasive,Cleansing and Purifying
poria cocos powder,abrasive,Cleansing and Purifying
pyrophyllite,abrasive,Cleansing and Purifying
ampelopsis japonica root powder,abrasive,Cleansing and Purifying
sclerocarya birrea seed powder,abrasive,Cleansing and Purifying
rubus idaeus seed,abrasive,Cleansing and Purifying
titanium oxynitride,abrasive,Cleansing and Purifying
lygodium japonicum spore,abrasive,Cleansing and Purifying
hydrolyzed opuntia ficus-indica flower extract,abrasive,Cleansing and Purifying
vanilla tahitensis seed,abrasive,Cleansing and Purifying
juglans regia leaf,abrasive,Cleansing and Purifying
sodium silicoaluminate,abrasive,Cleansing and Purifying
coral powder,abrasive,Cleansing and Purifying
moringa oleifera fruit powder,abrasive,Cleansing and Purifying
alumina,abrasive,Cleansing and Purifying
juglans mandshurica shell powder,abrasive,Cleansing and Purifying
olea europaea seed,abrasive,Cleansing and Purifying
adansonia digitata seed powder,abrasive,Cleansing and Purifying
salvia hispanica seed powder,abrasive,Cleansing and Purifying
diatomaceous earth,abrasive,Cleansing and Purifying
melaleuca alternifolia leaf,abrasive,Cleansing and Purifying
cannabis sativa seedcake powder,abrasive,Cleansing and Purifying
amorphophallus konjac root powder,abrasive,Cleansing and Purifying
glass beads,abrasive,Cleansing and Purifying
polyethylene,abrasive,Cleansing and Purifying
oryza sativa extract,abrasive,Cleansing and Purifying
zea mays seed flour,abrasive,Cleansing and Purifying
pegmatite,abrasive,Cleansing and Purifying
juglans regia shell powder,abrasive,Cleansing and Purifying
rosa centifolia flower powder,abrasive,Cleansing and Purifying
hordeum vulgare seed flour,abrasive,Cleansing and Purifying
zirconium silicate,abrasive,Cleansing and Purifying
viola prionantha powder,abrasive,Cleansing and Purifying
salt mine mud,abrasive,Cleansing and Purifying
polyhydroxybutyrate,abrasive,Cleansing and Purifying
carya illinoinensis shell powder,abrasive,Cleansing and Purifying
chlorella protothecoides,abrasive,Cleansing and Purifying
artemisia caruifolia powder,abrasive,Cleansing and Purifying
smilax lancefolia root/stalk powder,abrasive,Cleansing and Purifying
atractylodes macrocephala root/stalk powder,abrasive,Cleansing and Purifying
anadara kagoshimensis shell powder,abrasive,Cleansing and Purifying
perilla frutescens seed,abrasive,Cleansing and Purifying
lapis lazuli,abrasive,Cleansing and Purifying
jojobamidopropyl betaine,abrasive,Cleansing and Purifying
alluvial mud,abrasive,Cleansing and Purifying
mother of pearl,abrasive,Cleansing and Purifying
cnidium monnieri seed powder,abrasive,Cleansing and Purifying
prunus avium seed powder,abrasive,Cleansing and Purifying
avena sativa kernel flour,abrasive,Cleansing and Purifying
ammonium acryloyldimethyltaurate/laureth-7 methacrylate copolymer,abrasive,Cleansing and Purifying
microcrystalline cellulose,abrasive,Cleansing and Purifying
simmondsia chinensis seed extract,abrasive,Cleansing and Purifying
pistacia vera shell powder,abrasive,Cleansing and Purifying
bambusa arundinacea stem powder,abrasive,Cleansing and Purifying
butyrospermum parkii nut shell powder,abrasive,Cleansing and Purifying
macadamia ternifolia shell powder,abrasive,Cleansing and Purifying
rubus idaeus seed powder,abrasive,Cleansing and Purifying
araucaria angustifolia seed powder,abrasive,Cleansing and Purifying
citrus aurantium dulcis flower/leaf/stem powder,abrasive,Cleansing and Purifying
diospyros kaki leaf powder,abrasive,Cleansing and Purifying
starch laurate,abrasive,Cleansing and Purifying
egg shell powder,abrasive,Cleansing and Purifying
indium silver zinc diethyldithiocarbamate nitrate,abrasive,Cleansing and Purifying
streptomyces gougerotii ferment extract,abrasive,Cleansing and Purifying
3-hydroxybutyrate/3-hydroxyhexanoate copolymer,abrasive,Cleansing and Purifying
cannabis sativa seedcake,abrasive,Cleansing and Purifying
quercus suber bark,abrasive,Cleansing and Purifying
oyster shell powder,abrasive,Cleansing and Purifying
sea salt,abrasive,Cleansing and Purifying
calcium trifluoroacetate,abrasive,Cleansing and Purifying
honey powder,abrasive,Cleansing and Purifying
salix alba bark powder,abrasive,Cleansing and Purifying
tetrahydrojasmonic acid,abrasive,Cleansing and Purifying
methacryloyloxypropyl polysilsesquioxane,abrasive,Cleansing and Purifying
tungsten oxide,abrasive,Cleansing and Purifying
3-hydroxybutyrate/4-hydroxybutyrate copolymer,abrasive,Cleansing and Purifying
phyllostachys edulis stem powder,abrasive,Cleansing and Purifying
carbonado extract,abrasive,Cleansing and Purifying
thuja orientalis branch/leaf powder,abrasive,Cleansing and Purifying
myristica fragrans shell powder,abrasive,Cleansing and Purifying
calcium potassium sodium phosphate,abrasive,Cleansing and Purifying
vaccinium myrtillus seedcake powder,abrasive,Cleansing and Purifying
anthracite extract,abrasive,Cleansing and Purifying
