Ingredient,Function
ipomoea hederacea seed powder,abrasive
avena sativa bran extract,abrasive
ostrea shell powder,abrasive
lignum powder,abrasive
cicer arietinum seed powder,abrasive
olea europaea seed powder,abrasive
prunus persica flower powder,abrasive
stemona sessifolia root powder,abrasive
rosa canina seed powder,abrasive
vaccinium macrocarpon seed powder,abrasive
poria cocos powder,abrasive
pyrophyllite,abrasive
ampelopsis japonica root powder,abrasive
sclerocarya birrea seed powder,abrasive
rubus idaeus seed,abrasive
titanium oxynitride,abrasive
lygodium japonicum spore,abrasive
hydrolyzed opuntia ficus-indica flower extract,abrasive
vanilla tahitensis seed,abrasive
juglans regia leaf,abrasive
sodium silicoaluminate,abrasive
coral powder,abrasive
moringa oleifera fruit powder,abrasive
alumina,abrasive
juglans mandshurica shell powder,abrasive
olea europaea seed,abrasive
adansonia digitata seed powder,abrasive
salvia hispanica seed powder,abrasive
diatomaceous earth,abrasive
melaleuca alternifolia leaf,abrasive
cannabis sativa seedcake powder,abrasive
amorphophallus konjac root powder,abrasive
glass beads,abrasive
polyethylene,abrasive
oryza sativa extract,abrasive
zea mays seed flour,abrasive
pegmatite,abrasive
juglans regia shell powder,abrasive
rosa centifolia flower powder,abrasive
hordeum vulgare seed flour,abrasive
zirconium silicate,abrasive
viola prionantha powder,abrasive
salt mine mud,abrasive
polyhydroxybutyrate,abrasive
carya illinoinensis shell powder,abrasive
chlorella protothecoides,abrasive
artemisia caruifolia powder,abrasive
smilax lancefolia root/stalk powder,abrasive
atractylodes macrocephala root/stalk powder,abrasive
anadara kagoshimensis shell powder,abrasive
perilla frutescens seed,abrasive
lapis lazuli,abrasive
jojobamidopropyl betaine,abrasive
alluvial mud,abrasive
mother of pearl,abrasive
cnidium monnieri seed powder,abrasive
prunus avium seed powder,abrasive
avena sativa kernel flour,abrasive
ammonium acryloyldimethyltaurate/laureth-7 methacrylate copolymer,abrasive
microcrystalline cellulose,abrasive
simmondsia chinensis seed extract,abrasive
pistacia vera shell powder,abrasive
bambusa arundinacea stem powder,abrasive
butyrospermum parkii nut shell powder,abrasive
macadamia ternifolia shell powder,abrasive
rubus idaeus seed powder,abrasive
araucaria angustifolia seed powder,abrasive
citrus aurantium dulcis flower/leaf/stem powder,abrasive
diospyros kaki leaf powder,abrasive
starch laurate,abrasive
egg shell powder,abrasive
indium silver zinc diethyldithiocarbamate nitrate,abrasive
streptomyces gougerotii ferment extract,abrasive
3-hydroxybutyrate/3-hydroxyhexanoate copolymer,abrasive
cannabis sativa seedcake,abrasive
