Ingredient,Function,Group
aluminum iron silicates,abrasive,Cleansing and Exfoliating
olea europaea fruit,abrasive,Cleansing and Exfoliating
kaolin,abrasive,Cleansing and Exfoliating
bambusa arundinacea juice,abrasive,Cleansing and Exfoliating
macadamia integrifolia shell powder,abrasive,Cleansing and Exfoliating
oryza sativa germ powder,abrasive,Cleansing and Exfoliating
synthetic ruby powder,abrasive,Cleansing and Exfoliating
empetrum nigrum flower/fruit/leaf extract,abrasive,Cleansing and Exfoliating
olea europaea leaf powder,abrasive,Cleansing and Exfoliating
dicalcium phosphate dihydrate,abrasive,Cleansing and Exfoliating
virola sebifera seed powder,abrasive,Cleansing and Exfoliating
quartz,abrasive,Cleansing and Exfoliating
vaccinium macrocarpon seed,abrasive,Cleansing and Exfoliating
magnolia denudata bud powder,abrasive,Cleansing and Exfoliating
prunus mume fruit,abrasive,Cleansing and Exfoliating
prunus cerasus shell powder,abrasive,Cleansing and Exfoliating
prunus amygdalus dulcis seedcoat powder,abrasive,Cleansing and Exfoliating
passiflora incarnata seed powder,abrasive,Cleansing and Exfoliating
eucalyptus globulus leaf powder,abrasive,Cleansing and Exfoliating
matricaria maritima powder,abrasive,Cleansing and Exfoliating
sesamum indicum seed,abrasive,Cleansing and Exfoliating
kiwi fruit extract beta-glucan,abrasive,Cleansing and Exfoliating
amethyst powder,abrasive,Cleansing and Exfoliating
cocos nucifera shell powder,abrasive,Cleansing and Exfoliating
chondrus crispus powder,abrasive,Cleansing and Exfoliating
litchi chinensis seed powder,abrasive,Cleansing and Exfoliating
tricalcium phosphate,abrasive,Cleansing and Exfoliating
aluminum silicate,abrasive,Cleansing and Exfoliating
syringa oblata bark/leaf powder,abrasive,Cleansing and Exfoliating
melaleuca alternifolia leaf powder,abrasive,Cleansing and Exfoliating
sand,abrasive,Cleansing and Exfoliating
astrocaryum murumuru seed powder,abrasive,Cleansing and Exfoliating
pumpkin fruit extract beta-glucan,abrasive,Cleansing and Exfoliating
